"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","kingdom","phylum","class","order"
"EC:1.1.1.103","EC:1.1.1.103",1,0,0.0113317635247179,0,0.0199177082121568,"M5",-1.26002200153146,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.103"
"EC:1.1.1.105","EC:1.1.1.105",12,0,0.0168936643470647,0,0.00461197690826674,"M5",0.928437264286338,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.105"
"EC:1.1.1.107","EC:1.1.1.107",3,0,0.338156615410345,0,1.4983877237996e-05,"M40",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.107"
"EC:1.1.1.136","EC:1.1.1.136",5,9,0.00301254193540846,0,0.0198448070753289,"M2",-0.527421940289865,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.136"
"EC:1.1.1.137","EC:1.1.1.137",2,4,0.119713366070882,4.06852848431824e-18,0.00024050765514218,"M26",0.408248290463863,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.137"
"EC:1.1.1.145","EC:1.1.1.145",5,0,0.117534977206302,0,0.00118980677323576,"M14",0.25,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.145"
"EC:1.1.1.17","EC:1.1.1.17",1,0,1.04088406089579,0,0.011826622684729,"M202",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.17"
"EC:1.1.1.173","EC:1.1.1.173",2,0,0.5,4.06852848431824e-18,0.000358902817706077,"M66",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.173"
"EC:1.1.1.18","EC:1.1.1.18",7,112,0.00800504445475785,0,0.0392813467613017,"M4",1.18262285752667,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.18"
"EC:1.1.1.205","EC:1.1.1.205",5,384,0.00795656504698102,0,0.194352521011759,"M4",0.344543667153438,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.205"
"EC:1.1.1.206","EC:1.1.1.206",5,10,0.0195136658035196,0,0.0017818762914718,"M7",0.0811417755648218,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.206"
"EC:1.1.1.21","EC:1.1.1.21",1,0,1.06195137118423,2.03426424215912e-18,0.0016022314404907,"M184",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.21"
"EC:1.1.1.23","EC:1.1.1.23",1,0,0.0119803797000747,0,0.142992471716028,"M6",-2.05285253497094,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.23"
"EC:1.1.1.251","EC:1.1.1.251",1,0,1.01912004886851,0,2.59912901258645e-06,"M85",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.251"
"EC:1.1.1.261","EC:1.1.1.261",2,0,0.154781463168974,0,0.00571205050766092,"M30",0,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.261"
"EC:1.1.1.262","EC:1.1.1.262",1,0,0.00371746679154681,0,0.0618285900642227,"M2",-1.07747254468458,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.262"
"EC:1.1.1.267","EC:1.1.1.267",3,0,0.358339435268101,0,0.132738131695991,"M43",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.267"
"EC:1.1.1.27","EC:1.1.1.27",1,0,1.04088406089579,0,0.0163410263015934,"M202",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.27"
"EC:1.1.1.276","EC:1.1.1.276",1,0,0.108686219128723,4.06852848431824e-18,0.003523751772073,"M24",-1.10096376512636,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.276"
"EC:1.1.1.282","EC:1.1.1.282",1,0,1.04878353383836,0,5.90963379442009e-06,"M196",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.282"
"EC:1.1.1.289","EC:1.1.1.289",1,0,1.06793898072767,0,1.71724909018459e-05,"M180",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.289"
"EC:1.1.1.298","EC:1.1.1.298",2,0,0.500532099934471,0,6.25603551334029e-05,"M67",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.298"
"EC:1.1.1.303","EC:1.1.1.303",1,0,1,0,0.0093124438651191,"M134",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.303"
"EC:1.1.1.304","EC:1.1.1.304",1,0,1,0,0.00648717720543519,"M130",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.304"
"EC:1.1.1.305","EC:1.1.1.305",2,0,0.521619174810541,0,0.000142859373434396,"M72",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.305"
"EC:1.1.1.306","EC:1.1.1.306",4,0,0.00756448380234718,0,0.0301469859783763,"M4",-0.0744959280331759,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.306"
"EC:1.1.1.312","EC:1.1.1.312",1,0,1.0309863242357,0,0.000462037638377274,"M209",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.312"
"EC:1.1.1.320","EC:1.1.1.320",35,223,0.0145410337023483,0,0.00536448253823208,"M3",0.57127076200818,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.320"
"EC:1.1.1.328","EC:1.1.1.328",1,0,0.107976487203195,0,0.0414503504669643,"M28",-0.790569415042095,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.328"
"EC:1.1.1.333","EC:1.1.1.333",2,0,0.511879887379932,4.06852848431824e-18,0.0123060670123623,"M52",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.333"
"EC:1.1.1.335","EC:1.1.1.335",2,0,0.00225482198005713,0,0.00309976930317366,"M2",-0.939959893585898,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.335"
"EC:1.1.1.337","EC:1.1.1.337",2,0,0.520550781760199,0,5.32804488210387e-05,"M53",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.337"
"EC:1.1.1.343","EC:1.1.1.343",1,0,1,0,0.145310772601719,"M158",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.343"
"EC:1.1.1.346","EC:1.1.1.346",10,402,0.00944778044275044,0,0.0389136422865559,"M4",2.43974164308651,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.346"
"EC:1.1.1.36","EC:1.1.1.36",2,0,0.00318886341277416,0,0.0311495218781305,"M2",-0.939959893585898,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.36"
"EC:1.1.1.362","EC:1.1.1.362",2,0,0.508571719919669,0,4.44343603418156e-06,"M70",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.362"
"EC:1.1.1.363","EC:1.1.1.363",1,0,1,0,0.151720801270387,"M148",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.363"
"EC:1.1.1.364","EC:1.1.1.364",5,0,0.20088661604523,0,1.95752459721166e-05,"M22",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.364"
"EC:1.1.1.369","EC:1.1.1.369",7,112,0.00800504445475785,8.13705696863647e-18,0.0392813467613017,"M4",1.18262285752667,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.369"
"EC:1.1.1.370","EC:1.1.1.370",2,4,0.120395574842104,8.13705696863647e-18,0.000239363424046619,"M26",0.408248290463863,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.370"
"EC:1.1.1.374","EC:1.1.1.374",3,0,0.108575837003997,0,2.5237509295782e-05,"M16",-0.477455260559423,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.374"
"EC:1.1.1.377","EC:1.1.1.377",2,0,0.5,0,0.000358902817706077,"M66",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.377"
"EC:1.1.1.378","EC:1.1.1.378",2,0,0.5,0,0.000358902817706077,"M66",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.378"
"EC:1.1.1.4","EC:1.1.1.4",1,0,1,2.03426424215912e-18,0.0093124438651191,"M134",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.4"
"EC:1.1.1.40","EC:1.1.1.40",5,152,0.00394097282495343,0,0.0403264593726723,"M2",-0.527421940289865,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.40"
"EC:1.1.1.41","EC:1.1.1.41",2,0,0.00399756621953425,0,0.0159144691453408,"M2",-0.939959893585898,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.41"
"EC:1.1.1.42","EC:1.1.1.42",1,0,1.06242808487231,0,0.107055614582496,"M183",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.42"
"EC:1.1.1.44","EC:1.1.1.44",1,0,1,0,0.145310772601719,"M158",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.44"
"EC:1.1.1.49","EC:1.1.1.49",1,0,1,0,0.151720801270387,"M148",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.49"
"EC:1.1.1.51","EC:1.1.1.51",1,0,0.210563329035824,0,0.000349759933069998,"M49",-1.22474487139159,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.51"
"EC:1.1.1.53","EC:1.1.1.53",1,0,0.00862102986404995,0,0.0215250529511783,"M5",-1.26002200153146,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.53"
"EC:1.1.1.57","EC:1.1.1.57",3,24,0.00752113425797124,0,0.0180599230823355,"M4",-0.493535523219789,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.57"
"EC:1.1.1.65","EC:1.1.1.65",2,1,0.546442525561302,0,0.00174865440647952,"M75",1.15470053837925,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.65"
"EC:1.1.1.76","EC:1.1.1.76",1,0,1,0,0.00648717720543519,"M130",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.76"
"EC:1.1.1.79","EC:1.1.1.79",2,0,0.0895478373315693,0,0.0180309623245307,"M18",-0.940634162003545,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.79"
"EC:1.1.1.81","EC:1.1.1.81",1,0,0.363036961872563,0,0.0535995506060217,"M76",-0.577350269189626,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.81"
"EC:1.1.1.82","EC:1.1.1.82",1,0,1.03379330436616,0,3.21128537303845e-05,"M206",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.82"
"EC:1.1.1.83","EC:1.1.1.83",2,0,0.5,0,0.0301210546072096,"M64",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.83"
"EC:1.1.1.86","EC:1.1.1.86",2,0,0.526170595916591,0,0.132949560853319,"M81",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.86"
"EC:1.1.1.87","EC:1.1.1.87",1,0,0.347913142099306,2.03426424215912e-18,0.000744377039575042,"M78",-0.577350269189626,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.87"
"EC:1.1.1.93","EC:1.1.1.93",2,0,0.5,0,0.0301210546072096,"M64",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.93"
"EC:1.1.2.3","EC:1.1.2.3",1,0,1.09145311016477,0,0.0578138158865206,"M173",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With a cytochrome as acceptor.","o__EC:1.1.2.3"
"EC:1.1.2.7","EC:1.1.2.7",4,8,0.135344128518837,0,0.00309477243410346,"M17",0.705475621502659,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With a cytochrome as acceptor.","o__EC:1.1.2.7"
"EC:1.1.3.12","EC:1.1.3.12",3,0,0.338156615410345,0,1.4983877237996e-05,"M40",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With oxygen as acceptor.","o__EC:1.1.3.12"
"EC:1.1.3.45","EC:1.1.3.45",1,0,1,0,3.17220148602323e-05,"M159",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With oxygen as acceptor.","o__EC:1.1.3.45"
"EC:1.1.3.47","EC:1.1.3.47",1,0,1.09960945123803,0,0.00116491638905505,"M167",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With oxygen as acceptor.","o__EC:1.1.3.47"
"EC:1.1.5.4","EC:1.1.5.4",3,2,0.363201559032809,0,0.0244455831364184,"M48",1.22474487139159,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With a quinone or similar compound as acceptor.","o__EC:1.1.5.4"
"EC:1.1.5.6","EC:1.1.5.6",2,14,0.032774770668997,0,3.76668668137937e-05,"M9",-1.81628788291949,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With a quinone or similar compound as acceptor.","o__EC:1.1.5.6"
"EC:1.1.98.3","EC:1.1.98.3",2,0,0.510529475853192,0,0.0116211683565034,"M52",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With other, known, acceptors.","o__EC:1.1.98.3"
"EC:1.1.99.2","EC:1.1.99.2",4,10,0.108393741885034,0,0.0121505739709518,"M11",0.661437827766148,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With other acceptors.","o__EC:1.1.99.2"
"EC:1.10.2.2","EC:1.10.2.2",11,0,0.00426996676101357,0,0.0261575699511972,"M2",0.297653966302201,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on diphenols and related substances as donors.","c__With a cytochrome as acceptor.","o__EC:1.10.2.2"
"EC:1.10.3.12","EC:1.10.3.12",38,0,0.0133563691285312,0,0.0281719284400759,"M3",0.784472290413147,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on diphenols and related substances as donors.","c__With oxygen as acceptor.","o__EC:1.10.3.12"
"EC:1.11.1.5","EC:1.11.1.5",1,0,0.00377242724191128,2.03426424215912e-18,0.0352693021364164,"M2",-1.07747254468458,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on a peroxide as acceptor.","c__Peroxidases.","o__EC:1.11.1.5"
"EC:1.13.11.11","EC:1.13.11.11",2,12,0.0777744371682161,0,0.0474148211761852,"M13",0,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.11"
"EC:1.13.11.14","EC:1.13.11.14",1,0,1.06509197338224,0,0.000465108426472288,"M181",NA,NA,NA,"k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.14"
"EC:1.13.11.25","EC:1.13.11.25",2,0,0.537844696336441,0,0.00718361044785701,"M80",NA,NA,NA,"k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.25"
"EC:1.13.11.27","EC:1.13.11.27",1,0,1.10750941285174,0,0.0641560760543951,"M145",NA,NA,NA,"k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.27"
"EC:1.13.11.38","EC:1.13.11.38",1,0,1.00002216656378,2.03426424215912e-18,0.000131441609706398,"M99",NA,NA,NA,"k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.38"
"EC:1.13.11.46","EC:1.13.11.46",1,0,1.0549789612499,0,0.000832440347361202,"M188",NA,NA,NA,"k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.46"
"EC:1.13.11.49","EC:1.13.11.49",2,0,0.136097236168223,0,0.0834372716494016,"M19",-1.82574185835055,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.49"
"EC:1.13.11.52","EC:1.13.11.52",1,0,1.07151277969453,0,0.00254282613545977,"M179",NA,NA,NA,"k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.52"
"EC:1.13.11.53","EC:1.13.11.53",4,24.5,0.00608869932661568,0,0.0104501092323358,"M3",-1.63181169817648,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.53"
"EC:1.13.11.54","EC:1.13.11.54",4,24.5,0.00608869932661568,0,0.0104501092323358,"M3",-1.63181169817648,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.54"
"EC:1.13.11.6","EC:1.13.11.6",4,3,0.265234797724904,0,0.00523426168569612,"M32",1.09544511501033,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.6"
"EC:1.13.11.74","EC:1.13.11.74",2,0,0.502140105578542,0,0.000431966077674982,"M69",NA,NA,NA,"k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.74"
"EC:1.13.11.76","EC:1.13.11.76",2,0,0.502140105578542,0,0.000431966077674982,"M69",NA,NA,NA,"k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of two atoms of oxygen.","o__EC:1.13.11.76"
"EC:1.13.12.22","EC:1.13.12.22",2,0,0.504249434993255,4.06852848431824e-18,4.42139736818011e-06,"M70",NA,NA,NA,"k__Oxidoreductases.","p__Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.","c__With incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases).","o__EC:1.13.12.22"
"EC:1.14.11.47","EC:1.14.11.47",10,86,0.0317913249090396,0,0.00533008030355812,"M7",1.94740261355572,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors.","o__EC:1.14.11.47"
"EC:1.14.13.106","EC:1.14.13.106",1,0,1,0,0.000416450427729499,"M135",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.106"
"EC:1.14.13.127","EC:1.14.13.127",1,0,1.10380450775088,0,0.0344041483365455,"M164",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.127"
"EC:1.14.13.149","EC:1.14.13.149",1,0,0.00548813413272146,0,0.0779690545243527,"M4",-1.33161471359302,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.149"
"EC:1.14.13.165","EC:1.14.13.165",32,4,0.0127870771078034,1.95289367247275e-16,0.00836770106980539,"M3",0.358069233603214,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.165"
"EC:1.14.13.186","EC:1.14.13.186",5,0,0.20088661604523,0,1.95752459721166e-05,"M22",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.186"
"EC:1.14.13.2","EC:1.14.13.2",4,131,0.00663347510068739,0,0.0278672882230798,"M4",-0.0744959280331759,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.2"
"EC:1.14.13.7","EC:1.14.13.7",1,0,1.10308074114934,0,0.0100047480568127,"M165",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.7"
"EC:1.14.13.70","EC:1.14.13.70",1,0,0.083256347589114,2.03426424215912e-18,0.00202765814029742,"M14",-1.75,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.70"
"EC:1.14.13.81","EC:1.14.13.81",1,0,0.179924036615874,0,0.000560270761712926,"M46",-0.866025403784439,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.81"
"EC:1.14.13.82","EC:1.14.13.82",2,0,0.549135229831476,0,0.0145772127350943,"M77",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.82"
"EC:1.14.13.9","EC:1.14.13.9",1,0,0.152860625861136,0,0.00572120301629999,"M32",-1.6431676725155,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.9"
