"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","kingdom","phylum","class","order"
"EC:6.3.2.31","EC:6.3.2.31",89,0,0.0114373799103443,0.996650788021096,0.0107328862370318,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.31"
"EC:6.3.2.34","EC:6.3.2.34",89,0,0.0114373799103443,0.996650788021096,0.0107328862370318,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.34"
"EC:6.3.2.36","EC:6.3.2.36",2,0,0.500034830492752,0,4.44564302247853e-06,"M56",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.36"
"EC:6.3.2.38","EC:6.3.2.38",1,0,1.03254693659715,0,4.81299132804327e-05,"M207",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.38"
"EC:6.3.2.39","EC:6.3.2.39",1,0,1.03254693659715,0,5.91631051969985e-05,"M207",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.39"
"EC:6.3.2.4","EC:6.3.2.4",89,0,0.0114317737008195,0.997082013883182,0.034573680580644,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.4"
"EC:6.3.2.43","EC:6.3.2.43",89,10,0.0118174816248045,0.964839822366199,0.000344195738912672,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.43"
"EC:6.3.2.5","EC:6.3.2.5",89,0,0.0114133785396867,0.998729600780331,0.027342225079527,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.5"
"EC:6.3.2.6","EC:6.3.2.6",89,0,0.0114170030457611,0.998440909705162,0.0270545774189362,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.6"
"EC:6.3.2.8","EC:6.3.2.8",88,0,0.0112904017406705,0.993452329227636,0.0268406682636699,"M1",-0.0333990703554454,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.8"
"EC:6.3.2.9","EC:6.3.2.9",89,0,0.0114019758847168,0.999818221723005,0.026282809450714,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.9"
"EC:6.3.3.1","EC:6.3.3.1",88,0,0.0112928608017768,0.993126906770841,0.0255390082474723,"M1",-0.0333990703554454,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Cyclo-ligases.","o__EC:6.3.3.1"
"EC:6.3.3.2","EC:6.3.3.2",88,0,0.0113111805079952,0.991635859458888,0.0204515587540408,"M1",-0.0333990703554454,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Cyclo-ligases.","o__EC:6.3.3.2"
"EC:6.3.3.3","EC:6.3.3.3",89,0,0.011441678288246,0.996285270564497,0.0101665966256516,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Cyclo-ligases.","o__EC:6.3.3.3"
"EC:6.3.4.13","EC:6.3.4.13",88,0,0.011291048160736,0.993295244284133,0.0257921125649154,"M1",-0.0333990703554454,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.13"
"EC:6.3.4.14","EC:6.3.4.14",88,0,0.0113219548185733,0.990788338238792,0.0407930802020591,"M1",-0.0333990703554454,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.14"
"EC:6.3.4.15","EC:6.3.4.15",89,0,0.0114012837379404,0.999869209946484,0.0264062832783154,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.15"
"EC:6.3.4.18","EC:6.3.4.18",88,0,0.0113209668534653,0.990795970109426,0.0177524376035686,"M1",-0.0333990703554454,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.18"
"EC:6.3.4.19","EC:6.3.4.19",89,0,0.0114026344445773,0.999772578996489,0.0263433982701924,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.19"
