"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","ta1","ta2","ta3"
"EC:1.1.1.1","EC:1.1.1.1",5,122,0.000278579397384262,2.20802743096771e-17,0.186824639508086,"M5",-1.3808379941519,0.48,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.100","EC:1.1.1.100",5,0,0.22916666480441,9.76141332922061e-17,0.188132453072438,"M33",NA,NA,NA,"t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.103","EC:1.1.1.103",114,6383,0.000357589605668987,2.10288326758829e-16,0.0294742105181292,"M2",0.582578788519594,0.425515543244075,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.105","EC:1.1.1.105",66,292,0.000312844591078645,1.58767686702916e-16,0.00605915539888118,"M1",0.905286177692514,0.140036730945822,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.107","EC:1.1.1.107",5,0,0.222954998261246,9.6755988531062e-17,4.58000520392552e-05,"M34",0.645497224367902,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.108","EC:1.1.1.108",5,11978,0.000196485768436825,8.87906650142498e-17,0.00511254442039326,"M15",0.887411967464942,0.32,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.11","EC:1.1.1.11",1,0,1.230653103406,1.80231285665901e-17,0.000416133841638828,"M127",NA,NA,NA,"t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.122","EC:1.1.1.122",25,24,0.000267110082695897,1.50290438530451e-16,0.0312468082234288,"M1",-0.328142111317116,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.125","EC:1.1.1.125",6,0,0.000251300066226294,5.82235804713509e-17,0.0257989398773179,"M2",-1.03983637840638,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.133","EC:1.1.1.133",27,71,0.0002788583070546,0,0.147513949050676,"M1",-0.259618317483248,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.136","EC:1.1.1.136",83,922,0.000297265719673229,1.68230661407063e-16,0.0264139906904469,"M2",0.671478249721017,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.137","EC:1.1.1.137",100,11,0.00768927762415748,0.776512500403085,0.000318397445835081,"M3",0.379112806733519,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.14","EC:1.1.1.14",12,160,0.000260612685523739,5.40835290382864e-17,0.06636911392819,"M1",-0.77354677123726,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.145","EC:1.1.1.145",14,0,0.000191384035232737,2.27790620087773e-16,0.00165929539820046,"M5",1.10919773300727,0.13265306122449,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.157","EC:1.1.1.157",169,6242,0.000357349992752007,0,0.16605790514827,"M2",2.58281666555162,0,"Module hubs","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.159","EC:1.1.1.159",5,641,0.000167172299672402,9.38956102006534e-17,0.00783539000376157,"M4",-0.897265510113372,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.163","EC:1.1.1.163",2,0,0.69604774542666,3.67366399341936e-17,2.2494819468467e-05,"M75",NA,NA,NA,"t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.17","EC:1.1.1.17",90,2902,0.000301222122737074,1.59293407519813e-16,0.015865696732182,"M1",1.89888118828361,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.173","EC:1.1.1.173",5,0,0.000249516573171996,7.41266351824874e-17,0.000547947589764356,"M2",-1.06206124370674,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.18","EC:1.1.1.18",80,375.5,0.000305700686051888,1.67704940590166e-16,0.0341912623540459,"M1",1.55626221911426,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.193","EC:1.1.1.193",12,7918,0.000145217404999916,1.8895584788274e-16,0.185785390770747,"M9",1.18177717319761,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.203","EC:1.1.1.203",16,2318,0.00024981936506494,1.61215574256593e-16,0.0207077314872756,"M1",-0.636499183569524,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.205","EC:1.1.1.205",6,2,0.130571937395753,9.21505764016976e-17,0.188107826988384,"M19",0,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.206","EC:1.1.1.206",80,380,0.000336465222097567,1.00938396844238e-16,0.00246674900901228,"M2",0.560353923219238,0.04875,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.21","EC:1.1.1.21",20,69,0.00027295744758428,1.86105169181564e-16,0.00210926789090984,"M2",-0.728688264201401,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.215","EC:1.1.1.215",9,80,0.000283705480681188,4.52119902531483e-17,0.00364420992754476,"M2",-0.995386647805671,0.197530864197531,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.219","EC:1.1.1.219",48,809,0.000298661562864911,4.24782420052835e-16,0.0216116020004048,"M2",-0.106392035791437,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.23","EC:1.1.1.23",8,2660,0.000215886739235887,1.27754265699871e-16,0.18688473417516,"M17",0.934198732993827,0.21875,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.25","EC:1.1.1.25",7,1338,0.000176945145975934,1.06799619213482e-16,0.187279688138231,"M17",0.934198732993827,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.251","EC:1.1.1.251",7,1,0.019227695982698,9.78139473584887e-17,6.45096770696433e-06,"M7",-1.06633803084966,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.26","EC:1.1.1.26",4,32,0.000235438368871069,5.12084933208806e-17,0.0624534879113308,"M1",-1.1161657404066,0.5,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.261","EC:1.1.1.261",16,46,0.00023072492713446,2.60131178113942e-16,0.00938231339462246,"M1",-0.636499183569524,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.262","EC:1.1.1.262",182,12237,0.000369526841468423,1.34584529125651e-16,0.0749308524370449,"M2",2.87173991445624,0,"Module hubs","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.264","EC:1.1.1.264",53,25,0.000287969050133998,0,0.0137843496028158,"M1",0.631191002357041,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.267","EC:1.1.1.267",8,10,0.000142223790021803,1.33596625363197e-16,0.18241382659009,"M9",0.0815018740136282,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.27","EC:1.1.1.27",89,6016,0.000295165977715425,2.28688555350227e-16,0.0214182575536282,"M1",1.86461929136667,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.271","EC:1.1.1.271",61,1483,0.000305704593763944,0,0.0504232146781884,"M2",0.182531213113189,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.275","EC:1.1.1.275",10,5875,0.000223298740195735,1.13333907980139e-16,0.00271742517237694,"M1",-1.0133800496558,0.5,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.276","EC:1.1.1.276",37,77,0.000321913746861124,1.00938396844238e-16,0.00474499801126352,"M2",-0.395315284696063,0.102264426588751,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.28","EC:1.1.1.28",7,64,0.000251910368677579,8.67439347880171e-17,0.0168350701463296,"M2",-1.01761151310603,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.281","EC:1.1.1.281",9,711,0.000253396156916555,9.14754221400908e-17,0.0189338880866267,"M2",-0.995386647805671,0.197530864197531,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.282","EC:1.1.1.282",12,23,0.0214369221484956,1.79562537536324e-16,1.22187750060211e-05,"M7",-0.473928013710961,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.284","EC:1.1.1.284",17,1449,0.000298618566276034,1.35635970759445e-16,0.112776203842482,"M2",-0.862037456003536,0.290657439446367,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.287","EC:1.1.1.287",1,0,0.265641531527672,1.67316455842976e-17,0.000157267707656567,"M53",-0.5,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.289","EC:1.1.1.289",2,2,0.317071861967651,3.78983710809655e-17,5.3853946869669e-05,"M54",0.866025403784439,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.29","EC:1.1.1.29",25,360,0.000292546531431822,1.00938396844238e-16,0.0050523787887559,"M2",-0.617563937699622,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.290","EC:1.1.1.290",13,6420,0.000209562883050502,1.96705836591028e-16,0.000734053376253768,"M8",2.04199759695345,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.291","EC:1.1.1.291",5,4,0.250106911756773,8.48822504790667e-17,0.000353228949564455,"M30",1.21987509118567,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.298","EC:1.1.1.298",2,0,0.500532099934471,4.53430720930979e-17,8.21840710096813e-05,"M62",NA,NA,NA,"t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.3","EC:1.1.1.3",7,194,0.00508748574867807,1.17392702355547e-16,0.187868069139896,"M11",1.21824750528248,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.30","EC:1.1.1.30",40,1244,0.000291644006734007,2.53003143131717e-16,0.0898823525394003,"M1",0.185786342436897,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.302","EC:1.1.1.302",1,0,1.40631938673516,1.63590312663261e-17,0.000291505117868314,"M108",NA,NA,NA,"t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.303","EC:1.1.1.303",3,668.5,0.000235418312473628,4.03408583090864e-17,0.0126238723752956,"M1",-1.08190384348967,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.304","EC:1.1.1.304",5,54,0.000257274142557301,7.33380539571417e-17,0.0092395532318964,"M14",-0.854548625418222,0.48,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.305","EC:1.1.1.305",2,0,0.0116184965343765,4.48559730780834e-17,0.000209408959067516,"M7",-1.65874804798836,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.306","EC:1.1.1.306",112,1499,0.000311922145185831,3.84301917151761e-16,0.0399485972885434,"M1",2.65264292045616,0,"Module hubs","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.31","EC:1.1.1.31",98,1305,0.000320254866540878,0,0.147040383013251,"M2",1.00485122922635,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.312","EC:1.1.1.312",2,0,0.185670623463083,3.3954931191661e-17,0.000667112684277903,"M40",0,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.320","EC:1.1.1.320",68,110,0.000253020687724358,8.41153307035317e-18,0.00743962951951356,"M1",1.14511945611105,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.328","EC:1.1.1.328",34,5789,0.000310672319292488,2.41831575772654e-16,0.0548941333143602,"M1",-0.191094523649379,0.250865051903114,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.333","EC:1.1.1.333",14,2089,0.000242342880680286,1.63614175483686e-16,0.017954717900598,"M1",-0.705022977403392,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.335","EC:1.1.1.335",71,765,0.000324210269345853,4.20576653517659e-17,0.00412477004083531,"M2",0.404779866116747,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.336","EC:1.1.1.336",19,1730,0.000302515671386974,1.68230661407063e-16,0.0241101521966994,"M2",-0.795362860102468,0.188365650969529,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.337","EC:1.1.1.337",4,0,0.288588520109282,6.39004020816878e-17,7.01780708143646e-05,"M41",0.730296743340221,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.343","EC:1.1.1.343",13,726,0.000274303882478733,1.20915787886327e-16,0.1552459688107,"M2",-0.973161782505315,0.42603550295858,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.344","EC:1.1.1.344",1,0,1.35665453549904,1.38862515262552e-17,0.000214630171933881,"M115",NA,NA,NA,"t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.346","EC:1.1.1.346",118,3250,0.000318580226195535,4.6158287723563e-16,0.0427760060107853,"M1",2.85821430195776,0,"Module hubs","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.35","EC:1.1.1.35",3,28,0.000225040074745163,3.88376253482713e-17,0.112528496193797,"M1",-1.08190384348967,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.36","EC:1.1.1.36",55,1577,0.000315042225858105,0,0.0408590821258394,"M2",0.0491820213110535,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.361","EC:1.1.1.361",2,2,0.321316184143392,3.01132844418741e-17,1.80801831971801e-05,"M52",0.866025403784439,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.362","EC:1.1.1.362",2,0,0.508435218404484,4.89174261178858e-17,1.38422211223387e-05,"M63",NA,NA,NA,"t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.363","EC:1.1.1.363",13,1622,0.000259073233218251,1.78745077745005e-16,0.159851804491131,"M4",-0.812713064012674,0.568047337278107,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.364","EC:1.1.1.364",9,1.2,0.125822668104562,1.69184972172891e-16,2.57155414411232e-05,"M18",0.9298956298171,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.369","EC:1.1.1.369",80,375.5,0.000305700686051888,1.3300736667496e-16,0.0341912623540459,"M1",1.55626221911426,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.37","EC:1.1.1.37",11,6550,0.000287624699105293,2.41831575772654e-17,0.168296414783181,"M1",-0.876332461988063,0.314049586776859,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.370","EC:1.1.1.370",101,5,0.00776423644698845,0.770432417366245,0.000317942389075264,"M3",0.409289828495915,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.374","EC:1.1.1.374",32,0,0.00866252204061804,2.709778921069e-16,3.42012712183802e-05,"M6",0.186302812281719,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.377","EC:1.1.1.377",5,0,0.000249516573171996,7.7872396002879e-17,0.000547947589764356,"M2",-1.06206124370674,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.378","EC:1.1.1.378",5,0,0.000249516573171996,8.02381396789158e-17,0.000547947589764356,"M2",-1.06206124370674,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.38","EC:1.1.1.38",142,1622,0.000338159108351871,6.72922645628254e-17,0.115688760546068,"M2",1.98274530244201,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.381","EC:1.1.1.381",8,64,0.000281802438448852,5.7303569041781e-17,0.00290418670626463,"M2",-0.995386647805671,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.4","EC:1.1.1.4",3,668.5,0.000235418312473628,3.89649483586136e-17,0.0126238723752956,"M1",-1.08190384348967,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.40","EC:1.1.1.40",143,3970,0.000346774259888653,0,0.0406838508749712,"M2",2.00497016774237,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.41","EC:1.1.1.41",107,555,0.000317600515886646,0,0.0227123195439189,"M2",1.20487501692956,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.42","EC:1.1.1.42",57,4058,0.000341544542527978,2.81786357856831e-16,0.144230367648623,"M2",-0.195291496992861,0.352108341028009,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.43","EC:1.1.1.43",10,1479,0.000205987556363364,1.76666837640709e-16,0.000776387335391953,"M8",1.20117505703144,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.44","EC:1.1.1.44",13,726,0.000274303882478733,1.39841737294622e-16,0.1552459688107,"M2",-0.973161782505315,0.42603550295858,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.47","EC:1.1.1.47",1,0,0.172519891531354,1.70591532424196e-17,0.0160166590052581,"M39",-1.56524758424985,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.48","EC:1.1.1.48",21,256,0.000285317689941402,1.84002285913976e-16,0.00939849080862681,"M2",-0.706463398901045,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.49","EC:1.1.1.49",13,1622,0.000259073233218251,1.69807823857755e-16,0.159851804491131,"M4",-0.812713064012674,0.568047337278107,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.51","EC:1.1.1.51",8,695,0.000174843145524091,1.44455271172396e-16,0.000492063034362715,"M5",-0.0226366884287196,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.53","EC:1.1.1.53",76,1380,0.000297773652263121,1.01464117661135e-16,0.0221890621655334,"M1",1.41921463144653,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.56","EC:1.1.1.56",2,2,0.000183861472813066,3.1267296924877e-17,0.00158851081228284,"M5",-1.3808379941519,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.57","EC:1.1.1.57",88,1429,0.00030628430681243,7.62295184500756e-17,0.0243286287799817,"M1",1.83035739444974,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.58","EC:1.1.1.58",12,973,0.000276068882031481,1.24070112787709e-16,0.00156200531933112,"M5",-0.475370457003114,0.5,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.60","EC:1.1.1.60",3,9,0.000236231445908569,4.81034547460822e-17,0.0717406455211333,"M2",-1.10651097430745,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.65","EC:1.1.1.65",22,1592,0.00024360523140398,3.08236686456965e-16,0.00236322933501252,"M5",1.78829838586886,0.417355371900826,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.67","EC:1.1.1.67",6,13622,0.00024114501843273,8.61278557057159e-17,0.0150008547570696,"M1",-1.0133800496558,0.277777777777778,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.69","EC:1.1.1.69",36,1384,0.000283173512117651,2.94009366849688e-16,0.055679726919988,"M1",0.04873875476916,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.76","EC:1.1.1.76",5,54,0.000257274142557301,6.80151306860589e-17,0.0092395532318964,"M14",-0.854548625418222,0.48,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.79","EC:1.1.1.79",40,3543,0.000271357309343953,4.10062237179717e-16,0.0224871484334484,"M2",-0.284190958194284,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.8","EC:1.1.1.8",30,4449,0.000292695396815273,1.91362377350535e-16,0.00256788417616235,"M2",-0.528664476498198,0.0644444444444444,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.81","EC:1.1.1.81",81,1783,0.000311963033220421,0,0.0523651131817295,"M2",0.627028519120305,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.82","EC:1.1.1.82",8,1,0.152122234466737,1.43523186960666e-16,4.23010464774515e-05,"M19",1.15470053837925,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
