sample	qPCR
NRCS105	1.37E+09
NRCS106	5.91E+08
NRCS107	1.72E+09
NRCS108	9.78E+08
NRCS109	1.31E+09
NRCS11	4.43E+09
NRCS110	1.40E+09
NRCS111	1.61E+09
NRCS112	1.34E+09
NRCS113	1.66E+09
NRCS114	1.90E+09
NRCS115	1.35E+09
NRCS116	1.31E+09
NRCS117	2.11E+09
NRCS118	1.31E+09
NRCS119	1.49E+09
NRCS12	5.19E+09
NRCS120	1.45E+09
NRCS121	3.61E+09
NRCS122	3.83E+09
NRCS123	5.24E+09
NRCS124	4.07E+09
NRCS125	4.10E+09
NRCS126	3.05E+09
NRCS127	3.28E+09
NRCS128	4.77E+09
NRCS129	9.60E+08
NRCS13	4.88E+09
NRCS130	1.17E+09
NRCS131	1.07E+09
NRCS132	2.78E+09
NRCS133	4.68E+08
NRCS134	4.70E+08
NRCS135	1.14E+09
NRCS136	9.49E+08
NRCS137	3.59E+08
NRCS138	4.14E+08
NRCS139	7.95E+08
NRCS14	3.41E+09
NRCS140	9.08E+08
NRCS141	5.68E+08
NRCS142	2.77E+08
NRCS143	1.12E+09
NRCS144	4.04E+08
NRCS145	1.15E+09
NRCS146	9.73E+08
NRCS147	7.53E+08
NRCS148	1.88E+09
NRCS149	9.13E+08
NRCS15	4.90E+09
NRCS150	5.86E+08
NRCS151	1.01E+09
NRCS152	6.76E+08
NRCS153	2.13E+09
NRCS154	5.78E+08
NRCS155	1.18E+09
NRCS156	8.31E+08
NRCS157	2.98E+09
NRCS158	
NRCS159	
NRCS16	6.96E+09
NRCS160	1.58E+09
NRCS161	2.21E+09
NRCS162	7.94E+08
NRCS163	5.73E+09
NRCS164	2.29E+09
NRCS165	2.10E+09
NRCS166	1.70E+09
NRCS167	2.04E+09
NRCS168	9.01E+08
NRCS169	3.97E+09
NRCS17	3.12E+09
NRCS170	9.46E+08
NRCS171	2.74E+09
NRCS172	8.61E+08
NRCS173	6.16E+08
NRCS174	1.19E+09
NRCS175	1.92E+09
NRCS176	9.70E+08
NRCS177	1.80E+09
NRCS178	7.67E+08
NRCS179	9.18E+08
NRCS18	3.91E+09
NRCS180	2.73E+08
NRCS181	3.83E+08
NRCS182	5.00E+08
NRCS183	4.98E+08
NRCS184	3.36E+08
NRCS185	4.42E+09
NRCS186	1.09E+09
NRCS187	4.35E+09
NRCS188	1.35E+09
NRCS189	8.81E+08
NRCS19	6.88E+09
NRCS190	6.82E+08
NRCS191	8.92E+08
NRCS192	4.24E+08
NRCS193	6.88E+08
NRCS194	7.91E+08
NRCS195	1.16E+09
NRCS196	4.03E+08
NRCS197	4.44E+08
NRCS198	2.65E+08
NRCS199	1.31E+09
NRCS2	5.34E+09
NRCS20	5.75E+09
NRCS200	4.04E+08
NRCS201	5.86E+08
NRCS202	1.29E+09
NRCS203	4.44E+08
NRCS204	2.64E+08
NRCS205	1.11E+09
NRCS206	8.74E+08
NRCS207	1.28E+09
NRCS208	8.23E+08
NRCS209	5.54E+08
NRCS21	4.87E+09
NRCS210	4.95E+08
NRCS211	9.71E+08
NRCS212	5.70E+08
NRCS213	8.20E+08
NRCS214	1.33E+10
NRCS215	8.48E+09
NRCS216	4.56E+09
NRCS217	4.59E+09
NRCS218	4.09E+09
NRCS219	2.23E+09
NRCS22	5.80E+09
NRCS220	9.91E+09
NRCS221	5.55E+09
NRCS222	9.96E+08
NRCS223	2.37E+09
NRCS224	6.94E+09
NRCS225	9.71E+09
NRCS226	1.63E+09
NRCS227	1.53E+09
NRCS228	3.89E+09
NRCS229	1.86E+09
NRCS23	3.40E+09
NRCS230	5.48E+08
NRCS231	1.06E+09
NRCS232	5.89E+08
NRCS233	1.82E+09
NRCS234	2.03E+09
NRCS235	2.72E+09
NRCS236	2.29E+09
NRCS237	2.11E+09
NRCS238	1.79E+09
NRCS239	2.24E+09
NRCS24	2.79E+09
NRCS240	5.97E+09
NRCS241	4.03E+09
NRCS242	3.71E+09
NRCS243	1.24E+09
NRCS244	3.76E+09
NRCS245	1.91E+09
NRCS246	3.07E+09
NRCS247	7.94E+08
NRCS248	2.45E+09
NRCS249	2.28E+09
NRCS25	3.42E+09
NRCS250	1.35E+09
NRCS251	7.67E+08
NRCS252	2.35E+09
NRCS253	2.65E+09
NRCS254	1.16E+09
NRCS255	5.68E+09
NRCS256	2.66E+09
NRCS257	1.07E+09
NRCS258	1.53E+09
NRCS259	1.24E+09
NRCS26	4.02E+09
NRCS260	8.79E+08
NRCS261	1.73E+09
NRCS262	1.29E+09
NRCS263	1.25E+09
NRCS264	4.48E+08
NRCS265	3.14E+08
NRCS266	4.45E+08
NRCS267	5.82E+08
NRCS268	7.41E+08
NRCS269	5.43E+08
NRCS27	3.68E+09
NRCS270	5.76E+08
NRCS271	7.25E+08
NRCS272	6.54E+08
NRCS273	6.83E+08
NRCS274	6.91E+08
NRCS275	7.38E+08
NRCS276	7.95E+08
NRCS277	8.47E+08
NRCS278	7.15E+08
NRCS279	5.12E+08
NRCS28	3.90E+09
NRCS280	6.87E+08
NRCS281	6.97E+08
NRCS282	1.43E+09
NRCS283	5.66E+08
NRCS284	1.08E+09
NRCS285	1.30E+09
NRCS286	8.85E+08
NRCS287	7.53E+08
NRCS288	6.04E+08
NRCS289	9.41E+08
NRCS29	8.13E+09
NRCS290	7.78E+08
NRCS291	1.09E+09
NRCS292	1.04E+09
NRCS293	1.11E+09
NRCS294	1.38E+09
NRCS295	1.25E+09
NRCS296	8.46E+08
