SampleID	PLFA_ID
NRCS246	SHI-0246
NRCS247	SHI-0247
NRCS248	SHI-0248
NRCS249	SHI-0249
NRCS250	SHI-0250
NRCS251	SHI-0251
NRCS252	SHI-0252
NRCS253	SHI-0253
NRCS254	SHI-0254
NRCS255	SHI-0255
NRCS256	SHI-0256
NRCS257	SHI-0257
NRCS258	SHI-0258
NRCS259	SHI-0259
NRCS260	SHI-0260
NRCS261	SHI-0261
NRCS262	SHI-0262
NRCS263	SHI-0263
NRCS264	SHI-0264
NRCS265	SHI-0265
NRCS266	SHI-0266
NRCS267	SHI-0267
NRCS268	SHI-0268
NRCS269	SHI-0269
NRCS270	SHI-0270
NRCS271	SHI-0271
NRCS272	SHI-0272
NRCS273	SHI-0273
NRCS274	SHI-0274
NRCS275	SHI-0275
NRCS276	SHI-0276
NRCS277	SHI-0277
NRCS278	SHI-0278
NRCS279	SHI-0279
NRCS280	SHI-0280
NRCS281	SHI-0281
NRCS282	SHI-0282
NRCS283	SHI-0283
NRCS284	SHI-0284
NRCS285	SHI-0285
NRCS286	SHI-0286
NRCS287	SHI-0287
NRCS288	SHI-0288
NRCS289	SHI-0289
NRCS290	SHI-0290
NRCS291	SHI-0291
NRCS292	SHI-0292
NRCS293	SHI-0293
NRCS294	SHI-0294
NRCS295	SHI-0295
NRCS296	SHI-0296
NRCS297	SHI-0297
NRCS298	SHI-0298
NRCS299	SHI-0299
NRCS300	SHI-0300
NRCS301	SHI-0301
NRCS302	SHI-0302
NRCS303	SHI-0303
NRCS304	SHI-0304
NRCS305	SHI-0305
NRCS306	SHI-0306
NRCS307	SHI-0307
NRCS308	SHI-0308
NRCS309	SHI-0309
NRCS310	SHI-0310
NRCS311	SHI-0311
NRCS312	SHI-0312
NRCS313	SHI-0313
NRCS314	SHI-0314
NRCS315	SHI-0315
NRCS316	SHI-0316
NRCS317	SHI-0317
NRCS318	SHI-0318
NRCS319	SHI-0319
NRCS320	SHI-0320
NRCS321	SHI-0321
NRCS322	SHI-0322
NRCS323	SHI-0323
NRCS324	SHI-0324
NRCS325	SHI-0325
NRCS326	SHI-0326
NRCS327	SHI-0327
NRCS328	SHI-0328
NRCS329	SHI-0329
NRCS330	SHI-0330
NRCS331	SHI-0331
NRCS332	SHI-0332
NRCS333	SHI-0333
NRCS334	SHI-0334
NRCS335	SHI-0335
NRCS336	SHI-0336
NRCS337	SHI-0337
NRCS338	SHI-0338
NRCS339	SHI-0339
NRCS340	SHI-0340
NRCS341	SHI-0341
NRCS342	SHI-0342
NRCS343	SHI-0343
NRCS344	SHI-0344
NRCS345	SHI-0345
NRCS346	SHI-0346
NRCS347	SHI-0347
NRCS348	SHI-0348
NRCS349	SHI-0349
NRCS350	SHI-0350
NRCS351	SHI-0351
NRCS352	SHI-0352
NRCS353	SHI-0353
NRCS354	SHI-0354
NRCS355	SHI-0355
NRCS356	SHI-0356
NRCS357	SHI-0357
NRCS358	SHI-0358
NRCS359	SHI-0359
NRCS360	SHI-0360
NRCS361	SHI-0361
NRCS362	SHI-0362
NRCS363	SHI-0363
NRCS364	SHI-0364
NRCS365	SHI-0365
NRCS366	SHI-0366
NRCS367	SHI-0367
NRCS368	SHI-0368
NRCS369	SHI-0369
NRCS370	SHI-0370
NRCS371	SHI-0371
NRCS372	SHI-0372
NRCS373	SHI-0373
NRCS374	SHI-0374
NRCS375	SHI-0375
NRCS376	SHI-0376
NRCS377	SHI-0377
NRCS378	SHI-0378
NRCS379	SHI-0379
NRCS380	SHI-0380
NRCS381	SHI-0381
NRCS382	SHI-0382
NRCS383	SHI-0383
NRCS384	SHI-0384
NRCS385	SHI-0385
NRCS386	SHI-0386
NRCS387	SHI-0387
NRCS388	SHI-0388
NRCS389	SHI-0389
NRCS390	SHI-0390
NRCS391	SHI-0391
NRCS392	SHI-0392
NRCS393	SHI-0393
NRCS394	SHI-0394
NRCS395	SHI-0395
NRCS396	SHI-0396
NRCS397	SHI-0397
NRCS398	SHI-0398
NRCS399	SHI-0399
NRCS400	SHI-0400
NRCS401	SHI-0401
NRCS402	SHI-0402
NRCS403	SHI-0403
NRCS404	SHI-0404
NRCS405	SHI-0405
NRCS406	SHI-0406
NRCS407	SHI-0407
NRCS408	SHI-0408
NRCS409	SHI-0409
NRCS410	SHI-0410
NRCS411	SHI-0411
NRCS412	SHI-0412
NRCS413	SHI-0413
NRCS414	SHI-0414
NRCS415	SHI-0415
NRCS416	SHI-0416
NRCS417	SHI-0417
NRCS418	SHI-0418
NRCS419	SHI-0419
NRCS420	SHI-0420
NRCS421	SHI-0421
NRCS422	SHI-0422
NRCS423	SHI-0423
NRCS424	SHI-0424
NRCS425	SHI-0425
#N/A	SHI-0426
#N/A	SHI-0427
#N/A	SHI-0428
#N/A	SHI-0429
NRCS430	SHI-0430
NRCS431	SHI-0431
NRCS432	SHI-0432
NRCS433	SHI-0433
NRCS434	SHI-0434
NRCS435	SHI-0435
NRCS436	SHI-0436
NRCS437	SHI-0437
NRCS438	SHI-0438
NRCS439	SHI-0439
NRCS440	SHI-0440
NRCS441	SHI-0441
NRCS442	SHI-0442
NRCS443	SHI-0443
NRCS444	SHI-0444
NRCS445	SHI-0445
NRCS446	SHI-0446
NRCS447	SHI-0447
NRCS448	SHI-0448
NRCS449	SHI-0449
NRCS450	SHI-0450
NRCS451	SHI-0451
NRCS452	SHI-0452
NRCS453	SHI-0453
NRCS454	SHI-0454
NRCS455	SHI-0455
NRCS456	SHI-0456
NRCS457	SHI-0457
NRCS458	SHI-0458
NRCS459	SHI-0459
NRCS460	SHI-0460
NRCS461	SHI-0461
NRCS462	SHI-0462
NRCS463	SHI-0463
NRCS464	SHI-0464
NRCS465	SHI-0465
NRCS466	SHI-0466
NRCS467	SHI-0467
NRCS468	SHI-0468
NRCS469	SHI-0469
NRCS470	SHI-0470
NRCS471	SHI-0471
NRCS472	SHI-0472
NRCS473	SHI-0473
NRCS474	SHI-0474
NRCS475	SHI-0475
NRCS476	SHI-0476
NRCS477	SHI-0477
Light5	SHI-0478
Light10	SHI-0479
Light15	SHI-0480
Light25	SHI-0481
Light30	SHI-0482
Light35	SHI-0483
Light45	SHI-0484
Light50	SHI-0485
Light55	SHI-0486
mod5	SHI-0487
mod10	SHI-0488
mod15	SHI-0489
mod25	SHI-0490
mod30	SHI-0491
mod35	SHI-0492
mod45	SHI-0493
mod50	SHI-0494
mod55	SHI-0495
heavy5	SHI-0496
heavy10	SHI-0497
heavy15	SHI-0498
heavy25	SHI-0499
heavy30	SHI-0500
heavy35	SHI-0501
heavy45	SHI-0502
heavy50	SHI-0503
heavy55	SHI-0504
EX5	SHI-0505
EX10	SHI-0506
EX15	SHI-0507
EX25	SHI-0508
EX30	SHI-0509
EX35	SHI-0510
EX45	SHI-0511
EX50	SHI-0512
EX55	SHI-0513
CL1F1	SHI-0514
CL1F2	SHI-0515
CL1F3	SHI-0516
CL1F4	SHI-0517
CL1F5	SHI-0518
CH2F1	SHI-0519
CH2F2	SHI-0520
CH2F3	SHI-0521
CH2F4	SHI-0522
CH2F5	SHI-0523
EX1_1	SHI-0524
EX1_2	SHI-0525
EX1_3	SHI-0526
EX1_4	SHI-0527
EX1_5	SHI-0528
#N/A	SHI-0529
#N/A	SHI-0530
#N/A	SHI-0531
#N/A	SHI-0532
#N/A	SHI-0533
#N/A	SHI-0534
#N/A	SHI-0535
#N/A	SHI-0536
#N/A	SHI-0537
#N/A	SHI-0538
#N/A	SHI-0539
#N/A	SHI-0540
#N/A	SHI-0541
